36,1
30,1
39,1
21,0
46,1
16,0
19,0
47,1
42,1
29,0
29,0
20,0
35,1
31,1
32,1
48,1
15,0
19,0
27,0
37,1
41,1
33,1
41,1
21,0
50,1
50,1
36,1
17,0
39,1
24,0
48,1
45,1
39,1
29,0
15,0
15,0
28,0
15,0
21,0
38,1
27,0
42,1
30,1
24,0
17,0
25,0
30,1
37,1
27,0
47,1
38,1
19,0
27,0
29,0
28,0
25,0
17,0
25,0
27,0
19,0
36,1
48,1
16,0
22,0
15,0
22,0
49,1
30,1
18,0
29,0
23,0
28,0
45,1
26,0
24,0
41,1
40,1
22,0
16,0
20,0
36,1
50,1
46,1
42,1
29,0
43,1
15,0
47,1
43,1
25,0
39,1
47,1
21,0
15,0
17,0
16,0
28,0
29,0
45,1
25,0
